2019-04-22 21:05:33.270 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.calligraphy.CalligraphyAppApplicationTests], using SpringBootContextLoader
2019-04-22 21:05:33.283 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.calligraphy.CalligraphyAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-22 21:05:33.286 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.calligraphy.CalligraphyAppApplicationTests]: CalligraphyAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-22 21:05:33.528 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.calligraphy.CalligraphyAppApplication for test class com.calligraphy.CalligraphyAppApplicationTests
2019-04-22 21:05:33.728 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-22 21:05:33.760 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@63a12c68, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28f3b248, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1b1426f4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@32b260fa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@581ac8a8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6d4e5011, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@57d7f8ca, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@76c3e77a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78123e82, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@67c33749, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@fba92d3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@662b4c69]
2019-04-22 21:05:34.386 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - Starting CalligraphyAppApplicationTests on DESKTOP-TBI9BAK with PID 1684 (started by peng in C:\Users\peng\eclipse-workspace\calligraphyApp)
2019-04-22 21:05:34.386 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - The following profiles are active: dev
2019-04-22 21:05:35.924 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-22 21:05:35.928 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-22 21:05:36.084 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 113ms. Found 0 repository interfaces.
2019-04-22 21:05:37.078 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4af603a6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-22 21:05:44.373 [container-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-04-22 21:05:44.374 [container-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-04-22 21:05:48.252 [container-1] ERROR o.s.d.redis.listener.RedisMessageListenerContainer - Connection failure occurred. Restarting subscription task after 5000 ms
2019-04-22 21:05:49.099 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - Started CalligraphyAppApplicationTests in 15.256 seconds (JVM running for 17.109)
